metric,key,value
planet,cells,393216
planet,physical_area,341782637.711
planet,land_fraction,0.35159793
planet,ocean_fraction,0.64840207
geology,plates,16
geology,cratons,9
geology,major_continents,7
geology,largest_ocean_share,0.99170861
face,neg_x,65536
face,neg_y,65536
face,neg_z,65536
face,pos_x,65536
face,pos_y,65536
face,pos_z,65536
biome,1,1461533.949
biome,2,585068.172
biome,3,57223871.121
biome,4,3938030.165
biome,5,1113061.181
biome,6,12416181.465
biome,7,8684341.403
biome,8,57929.677
biome,10,12009038.796
biome,11,14867586.593
biome,12,7813424.440
biome,13,221612570.749
climate,dry,101147971.435
climate,polar,57583922.619
climate,temperate,69957341.441
climate,tropical,113093402.216
climate,area_mean_temperature_c,14.2510
climate,minimum_temperature_c,-19.8855
climate,maximum_temperature_c,32.3012
climate,area_mean_precipitation_mm,1301.8741
climate,maximum_precipitation_mm,7979.3936
climate,area_mean_aridity,1.543275
climate,maximum_aridity,8.000000
hydrology,ocean_basins,24
hydrology,named_rivers,878
hydrology,lakes,10
hydrology,watersheds,12823
hydrology,maximum_discharge,90303.00000
hydrology,maximum_channel_width_blocks,30.300
hydrology,maximum_stream_order,3
hydrology,floodplain_cells,2224
hydrology,wetland_cells,6062
hydrology,delta_cells,557
hydrology,estuary_cells,1637
hydrology,baseline_surface_water_units,75745059763
hydrology,voxel_volume_residual,608882147
lake_class,seasonalplaya,6
lake_class,throughflowfresh,3
lake_class,volcaniccrater,1
deposit_sites,chromite,2
deposit_sites,cinnabar,2
deposit_sites,coal,9
deposit_sites,cobalt,2
deposit_sites,copper,9
deposit_sites,diamond,2
deposit_sites,galena,2
deposit_sites,geode,2
deposit_sites,gold,3
deposit_sites,halite,2
deposit_sites,iron,9
deposit_sites,manganese,2
deposit_sites,modded mineral,7
deposit_sites,pitchblende,2
deposit_sites,rare earth,3
deposit_sites,tin,3
deposit_tonnage,chromite,17496
deposit_tonnage,cinnabar,17496
deposit_tonnage,coal,78732
deposit_tonnage,cobalt,17496
deposit_tonnage,copper,78732
deposit_tonnage,diamond,1014
deposit_tonnage,galena,4332
deposit_tonnage,geode,17496
deposit_tonnage,gold,4332
deposit_tonnage,halite,4332
deposit_tonnage,iron,78732
deposit_tonnage,manganese,17496
deposit_tonnage,modded mineral,61236
deposit_tonnage,pitchblende,1014
deposit_tonnage,rare earth,1014
deposit_tonnage,tin,6498
deposit_max_distance_blocks,chromite,11788.820
deposit_max_distance_blocks,cinnabar,11546.719
deposit_max_distance_blocks,coal,5631.734
deposit_max_distance_blocks,cobalt,13418.708
deposit_max_distance_blocks,copper,5734.514
deposit_max_distance_blocks,diamond,9584.374
deposit_max_distance_blocks,galena,10035.546
deposit_max_distance_blocks,geode,11889.924
deposit_max_distance_blocks,gold,13619.306
deposit_max_distance_blocks,halite,11526.451
deposit_max_distance_blocks,iron,6078.217
deposit_max_distance_blocks,manganese,13156.011
deposit_max_distance_blocks,pitchblende,9151.945
deposit_max_distance_blocks,rare earth,10559.928
deposit_max_distance_blocks,tin,11981.501
