transect,step,face,u,v,distance_blocks,elevation,wind_east,wind_north,moisture,precipitation,temperature,aridity
0,0,pos_x,218,224,0.000,68.922,-0.873905,-0.486097,73.944,216.918,24.407,0.860342
0,1,pos_x,217,223,38.721,101.438,-0.877272,-0.479993,60.983,60.575,24.275,3.030628
0,2,pos_x,216,223,67.788,68.599,-0.878702,-0.477370,83.810,81.171,24.513,2.254881
0,3,pos_x,215,223,96.774,51.672,-0.880124,-0.474744,120.249,161.080,22.705,1.244210
0,4,pos_x,214,223,125.681,51.360,-0.881537,-0.472115,137.060,177.908,22.629,1.215162
0,5,pos_x,213,223,154.510,56.712,-0.882941,-0.469483,144.856,160.079,22.550,1.377972
0,6,pos_x,212,223,183.263,59.985,-0.884338,-0.466848,140.104,185.208,22.468,1.206040
0,7,pos_x,211,223,211.940,66.076,-0.885725,-0.464209,107.814,112.306,24.156,2.000571
0,8,pos_x,210,223,240.545,68.471,-0.887105,-0.461568,90.420,97.874,24.035,2.306985
0,9,pos_x,209,223,269.077,71.618,-0.888476,-0.458922,88.857,73.990,24.209,2.881108
0,10,pos_x,208,223,297.539,72.231,-0.889840,-0.456274,91.442,70.379,24.403,2.906541
0,11,pos_x,207,223,325.931,70.036,-0.891195,-0.453621,76.724,61.122,24.306,3.369871
0,12,pos_x,206,223,354.256,65.200,-0.892542,-0.450965,66.719,58.080,24.208,3.508346
0,13,pos_x,205,223,382.514,66.586,-0.893881,-0.448305,92.064,72.973,23.787,2.497378
0,14,pos_x,204,223,410.708,65.641,-0.895212,-0.445641,122.677,95.828,23.330,1.882712
0,15,pos_x,203,223,438.837,63.645,-0.896535,-0.442974,98.881,77.571,21.591,2.479439
1,0,pos_y,208,78,0.000,65.125,0.556323,0.830966,43.515,346.311,-0.091,0.159723
1,1,pos_y,209,79,42.844,98.085,0.542780,0.839875,29.833,118.012,-0.181,0.463407
1,2,pos_y,210,80,85.719,68.149,0.529184,0.848507,25.846,104.632,0.136,0.557578
1,3,pos_y,211,81,128.625,67.929,0.515547,0.856861,22.645,91.067,0.248,0.662892
1,4,pos_y,212,82,171.565,64.420,0.501880,0.864937,18.717,78.213,0.274,0.804037
1,5,pos_y,213,83,214.540,63.632,0.488194,0.872735,30.877,125.624,-2.833,0.437850
1,6,pos_y,213,84,241.827,63.652,0.479145,0.877736,45.260,174.930,-2.935,0.296687
1,7,pos_y,213,85,269.080,63.699,0.469985,0.882674,57.280,215.707,-3.032,0.233335
1,8,pos_y,213,86,296.302,63.743,0.460716,0.887547,66.167,245.782,-3.124,0.200904
1,9,pos_y,213,87,323.492,63.785,0.451338,0.892353,72.363,266.719,-3.211,0.182540
1,10,pos_y,213,88,350.652,63.829,0.441851,0.897088,76.596,280.971,-3.295,0.171236
1,11,pos_y,213,89,377.783,63.876,0.432257,0.901751,79.489,290.631,-3.376,0.163749
1,12,pos_y,213,90,404.885,63.929,0.422556,0.906337,81.496,297.224,-3.455,0.158439
1,13,pos_y,213,91,431.959,63.991,0.412748,0.910845,82.924,301.797,-3.531,0.154415
1,14,pos_y,213,92,459.006,64.350,0.402836,0.915272,69.929,245.350,-0.394,0.202174
1,15,pos_y,213,93,486.027,64.350,0.392819,0.919616,64.223,225.293,0.220,0.223512
2,0,pos_y,189,224,0.000,75.848,-0.912367,0.409373,43.525,217.446,3.832,0.370437
2,1,pos_y,188,225,44.097,82.507,-0.917625,0.397447,34.147,145.470,3.871,0.569102
2,2,pos_y,187,226,88.251,30.108,-0.922679,0.385568,51.027,217.750,1.166,0.370105
2,3,pos_y,186,227,132.467,4.000,-0.927532,0.373745,62.256,261.101,1.290,0.308389
2,4,pos_y,185,227,159.353,4.000,-0.929672,0.368388,67.244,279.179,1.203,0.284413
2,5,pos_y,184,227,186.197,4.000,-0.931798,0.362976,72.729,299.373,1.121,0.262176
2,6,pos_y,183,227,213.001,4.000,-0.933909,0.357510,77.536,317.355,1.042,0.245208
2,7,pos_y,182,227,239.765,4.000,-0.936004,0.351988,81.283,331.577,0.966,0.233165
2,8,pos_y,181,227,266.490,4.000,-0.938082,0.346413,84.012,342.053,0.894,0.224800
2,9,pos_y,180,227,293.178,4.000,-0.940142,0.340783,85.905,349.353,0.824,0.219012
2,10,pos_y,179,227,319.828,4.000,-0.942183,0.335098,87.167,354.191,0.756,0.214973
2,11,pos_y,178,227,346.442,4.000,-0.944204,0.329361,87.980,357.233,0.689,0.212095
2,12,pos_y,177,227,373.020,4.000,-0.946204,0.323569,88.490,359.029,0.624,0.209964
2,13,pos_y,176,227,399.564,4.000,-0.948183,0.317725,88.805,359.996,0.559,0.208302
2,14,pos_y,175,227,426.074,4.000,-0.950139,0.311828,88.997,360.432,0.495,0.206924
2,15,pos_y,174,227,452.552,4.000,-0.952071,0.305878,89.115,360.536,0.431,0.205714
3,0,neg_x,180,163,0.000,70.598,-0.978692,-0.205335,137.770,448.357,31.708,0.601777
3,1,neg_x,179,163,29.661,46.034,-0.978902,-0.204330,168.780,538.332,30.818,0.505180
3,2,neg_x,178,163,59.273,4.000,-0.979111,-0.203325,184.254,580.123,30.848,0.467451
3,3,neg_x,177,163,88.836,4.000,-0.979320,-0.202320,196.204,610.920,30.877,0.442542
3,4,neg_x,176,163,118.352,4.000,-0.979527,-0.201313,205.528,634.443,30.905,0.425250
3,5,neg_x,175,163,147.822,4.000,-0.979733,-0.200306,212.700,652.525,30.931,0.413100
3,6,neg_x,174,163,177.248,4.000,-0.979939,-0.199298,218.183,666.482,30.955,0.404458
3,7,neg_x,173,163,206.630,4.000,-0.980144,-0.198289,222.375,677.300,30.977,0.398236
3,8,neg_x,172,163,235.969,4.000,-0.980347,-0.197279,225.589,685.716,30.996,0.393704
3,9,neg_x,171,163,265.267,4.000,-0.980550,-0.196268,228.066,692.286,31.011,0.390367
3,10,neg_x,170,163,294.524,4.000,-0.980752,-0.195256,229.988,697.430,31.024,0.387884
3,11,neg_x,169,163,323.742,4.000,-0.980953,-0.194244,231.490,701.465,31.033,0.386015
3,12,neg_x,168,163,352.923,4.000,-0.981153,-0.193230,232.673,704.635,31.038,0.384593
3,13,neg_x,167,163,382.066,4.000,-0.981353,-0.192215,233.612,707.125,31.039,0.383496
3,14,neg_x,166,163,411.173,4.000,-0.981551,-0.191199,234.364,709.077,31.037,0.382637
3,15,neg_x,165,163,440.245,4.000,-0.981749,-0.190183,234.969,710.601,31.032,0.381953
4,0,neg_y,202,206,0.000,71.280,0.795840,-0.605507,5.971,16.957,-9.511,1.831769
4,1,neg_y,203,205,43.413,87.570,0.786959,-0.617005,6.749,15.803,-9.534,2.314804
4,2,neg_y,204,204,86.823,62.028,0.777891,-0.628400,24.884,83.348,-8.824,0.519839
4,3,neg_y,205,203,130.233,57.296,0.768640,-0.639682,37.684,151.912,-8.857,0.292143
4,4,neg_y,206,202,173.646,63.445,0.759214,-0.650841,45.932,191.404,-8.900,0.232953
4,5,neg_y,207,201,217.064,70.163,0.749619,-0.661870,32.040,116.909,-9.616,0.495923
4,6,neg_y,208,200,260.491,72.297,0.739862,-0.672759,24.870,80.028,-9.820,0.718331
4,7,neg_y,209,199,303.928,69.382,0.729951,-0.683499,20.233,61.483,-10.281,0.890503
4,8,neg_y,210,198,347.379,67.153,0.719894,-0.694084,16.811,47.809,-10.797,1.076054
4,9,neg_y,211,197,390.846,66.151,0.709698,-0.704506,14.219,37.458,-11.317,1.277429
4,10,neg_y,212,196,434.332,65.644,0.699372,-0.714758,12.198,29.594,-12.326,1.488801
4,11,neg_y,213,195,477.840,65.233,0.688924,-0.724834,10.642,23.316,-12.294,1.718401
4,12,neg_y,214,194,521.372,64.816,0.678363,-0.734727,9.498,18.708,-11.226,1.947974
4,13,neg_y,215,193,564.932,64.438,0.667698,-0.744432,8.681,15.856,-10.178,2.122020
4,14,neg_y,216,192,608.522,64.350,0.656938,-0.753945,8.066,14.254,-9.416,2.192755
4,15,neg_y,217,191,652.145,63.836,0.646090,-0.763261,21.522,67.049,-8.702,0.596963
5,0,neg_y,46,238,0.000,69.897,0.889596,0.456749,43.138,133.065,0.096,0.763056
5,1,neg_y,47,239,45.812,58.352,0.894718,0.446631,64.467,202.019,0.787,0.476240
5,2,neg_y,48,240,91.711,17.899,0.899682,0.436545,79.248,271.923,0.971,0.359585
5,3,neg_y,49,241,137.703,11.900,0.904488,0.426499,87.796,305.534,1.151,0.327263
5,4,neg_y,50,242,183.795,12.679,0.909136,0.416499,94.323,310.187,1.326,0.328588
5,5,neg_y,51,243,229.992,11.397,0.913628,0.406551,100.274,322.813,1.496,0.320106
5,6,neg_y,52,244,276.302,9.450,0.917965,0.396661,105.207,330.639,1.660,0.316387
5,7,neg_y,53,245,322.732,6.581,0.922149,0.386835,109.552,341.192,1.819,0.309634
5,8,neg_y,54,246,369.289,4.000,0.926181,0.377080,113.253,352.799,1.976,0.301981
5,9,neg_y,55,246,395.196,5.414,0.927891,0.372851,111.388,350.430,1.865,0.302101
5,10,neg_y,56,246,421.056,7.098,0.929590,0.368595,109.769,347.831,1.751,0.302510
5,11,neg_y,57,246,446.871,8.897,0.931276,0.364313,108.247,345.742,1.633,0.302369
5,12,neg_y,58,246,472.641,10.817,0.932950,0.360006,106.685,343.473,1.512,0.302440
5,13,neg_y,59,246,498.367,12.852,0.934611,0.355672,105.268,349.227,1.389,0.295019
5,14,neg_y,60,246,524.050,16.263,0.936258,0.351313,103.854,345.992,1.264,0.296028
5,15,neg_y,61,246,549.691,19.572,0.937892,0.346927,103.145,357.062,1.138,0.284530
