country_id,neighbor_id,pass_face,pass_u,pass_v,barrier,heart_face,heart_u,heart_v
1,68,pos_x,135,0,193,neg_y,255,139
3,461,pos_z,241,76,1000,pos_z,254,94
5,42,pos_x,1,149,193,pos_x,8,120
5,193,pos_x,9,124,408,pos_x,8,120
5,434,pos_z,251,125,931,pos_x,8,120
10,224,neg_x,0,133,617,neg_x,0,127
11,86,pos_z,6,121,983,neg_x,255,130
11,92,pos_z,6,108,220,neg_x,255,130
11,115,pos_z,4,127,982,neg_x,255,130
11,137,pos_z,1,120,977,neg_x,255,130
11,169,neg_x,253,137,955,neg_x,255,130
11,206,pos_z,1,137,983,neg_x,255,130
11,212,pos_z,0,124,975,neg_x,255,130
11,256,neg_x,252,129,274,neg_x,255,130
11,319,neg_x,251,136,1000,neg_x,255,130
11,460,pos_z,8,110,280,neg_x,255,130
14,119,neg_x,136,251,933,pos_y,0,123
14,325,neg_x,137,250,1055,pos_y,0,123
14,353,pos_y,2,123,270,pos_y,0,123
19,479,pos_y,168,4,250,pos_y,166,4
20,109,pos_y,241,140,203,pos_y,248,132
20,141,pos_y,247,143,966,pos_y,248,132
23,127,pos_z,143,0,945,pos_z,124,2
23,138,neg_y,122,254,210,pos_z,124,2
25,462,neg_y,235,181,963,neg_y,232,172
26,61,pos_z,223,73,987,pos_z,234,67
28,376,pos_z,48,209,1014,pos_z,29,191
31,287,neg_z,177,70,264,neg_z,178,65
34,496,neg_z,151,130,1002,neg_z,158,134
35,415,neg_z,171,177,997,neg_z,178,185
36,65,pos_z,101,112,968,pos_z,98,103
36,80,pos_z,102,89,969,pos_z,98,103
36,441,pos_z,91,115,231,pos_z,98,103
36,448,pos_z,89,93,235,pos_z,98,103
36,449,pos_z,84,102,232,pos_z,98,103
36,474,pos_z,101,116,232,pos_z,98,103
37,42,pos_z,233,177,949,pos_z,221,183
37,53,pos_z,232,182,950,pos_z,221,183
37,118,pos_z,230,184,952,pos_z,221,183
37,268,pos_z,197,165,964,pos_z,221,183
37,277,pos_z,210,179,961,pos_z,221,183
37,434,pos_z,224,162,215,pos_z,221,183
38,120,pos_y,185,103,966,pos_y,182,99
38,230,pos_y,188,78,240,pos_y,182,99
38,258,pos_y,180,118,963,pos_y,182,99
38,307,pos_y,188,77,240,pos_y,182,99
38,331,pos_y,178,91,968,pos_y,182,99
38,339,pos_y,176,68,970,pos_y,182,99
38,435,pos_y,175,110,230,pos_y,182,99
38,447,pos_y,172,77,237,pos_y,182,99
38,480,pos_y,184,114,967,pos_y,182,99
38,488,pos_y,166,96,233,pos_y,182,99
39,100,pos_y,218,163,952,pos_y,211,150
39,109,pos_y,227,143,945,pos_y,211,150
39,141,pos_y,228,151,945,pos_y,211,150
39,186,pos_y,215,120,950,pos_y,211,150
39,195,pos_y,222,136,946,pos_y,211,150
39,207,pos_y,218,121,948,pos_y,211,150
39,300,pos_y,219,123,948,pos_y,211,150
39,324,pos_y,218,122,1004,pos_y,211,150
39,397,pos_y,218,174,962,pos_y,211,150
39,418,pos_y,230,161,946,pos_y,211,150
39,422,pos_y,210,134,216,pos_y,211,150
40,403,pos_y,63,176,231,pos_y,77,178
40,431,pos_y,87,164,985,pos_y,77,178
40,458,pos_y,67,170,967,pos_y,77,178
40,473,pos_y,63,181,234,pos_y,77,178
41,85,neg_x,89,72,968,neg_x,76,55
41,196,neg_x,71,105,979,neg_x,76,55
41,265,neg_x,84,113,983,neg_x,76,55
41,346,neg_x,83,114,982,neg_x,76,55
41,430,neg_x,97,99,991,neg_x,76,55
41,446,neg_x,68,79,233,neg_x,76,55
42,53,pos_x,0,174,932,pos_x,13,156
42,94,pos_x,31,165,250,pos_x,13,156
42,162,pos_x,31,165,307,pos_x,13,156
42,193,pos_x,16,134,967,pos_x,13,156
42,434,pos_z,229,158,947,pos_x,13,156
43,83,neg_z,55,220,964,neg_z,29,180
43,90,neg_z,38,171,957,neg_z,29,180
43,117,neg_z,53,229,982,neg_z,29,180
43,139,neg_z,19,215,964,neg_z,29,180
43,160,neg_z,52,210,972,neg_z,29,180
43,221,neg_z,19,213,964,neg_z,29,180
43,236,neg_z,18,215,997,neg_z,29,180
43,305,neg_z,28,185,965,neg_z,29,180
43,310,neg_z,62,180,270,neg_z,29,180
43,481,neg_z,36,232,968,neg_z,29,180
44,161,pos_y,147,148,975,pos_y,154,129
44,258,pos_y,177,136,539,pos_y,154,129
44,386,pos_y,147,118,969,pos_y,154,129
44,389,pos_y,175,138,322,pos_y,154,129
44,422,pos_y,177,137,443,pos_y,154,129
44,435,pos_y,172,122,964,pos_y,154,129
44,453,pos_y,142,123,233,pos_y,154,129
45,111,neg_x,117,255,953,pos_y,4,160
45,172,neg_x,114,249,1101,pos_y,4,160
45,323,pos_y,11,145,938,pos_y,4,160
