Wildforge planetary water audit
surface hours: 0
groundwater days: 0
atmosphere: 356224169157 HU, 0 salt mass
soil: 65567751968 HU, 0 salt mass
snow/ice reserve: 2413703488 HU, 0 salt mass
groundwater: 694969114024 HU, 124120214934464 salt mass
runoff: 0 HU, 0 salt mass
coarse surface: 2423767171456 HU, 533141456741664 salt mass
voxel surface: 0 HU, 0 salt mass
pending exchanges: 0 HU, 0 salt mass
portable: 0 HU, 0 salt mass
industrial: 0 HU, 0 salt mass
precipitated salt: 0
expected water: 3542941910093 HU
current water: 3542941910093 HU
unexplained water delta: 0 HU
expected salt: 657261671676128
current salt: 657261671676128
unexplained salt delta: 0
basins:
  The World Ocean: level 64.000, coarse 2422510405664 HU, committed 0 HU, salinity 220
  Noreth Sea: level 64.000, coarse 500608 HU, committed 0 HU, salinity 232
  Bareth Sea: level 64.000, coarse 100716448 HU, committed 0 HU, salinity 232
  Duna Sea: level 64.000, coarse 24338080 HU, committed 0 HU, salinity 232
  Isain Sea: level 64.000, coarse 5343520 HU, committed 0 HU, salinity 232
  Corara Sea: level 64.000, coarse 4553920 HU, committed 0 HU, salinity 232
  Lormere Sea: level 64.000, coarse 42592 HU, committed 0 HU, salinity 232
  Barara Sea: level 64.000, coarse 4661216 HU, committed 0 HU, salinity 232
  Barin Sea: level 64.000, coarse 3742528 HU, committed 0 HU, salinity 232
  Barora Sea: level 64.000, coarse 858496 HU, committed 0 HU, salinity 232
  Baryr Sea: level 64.000, coarse 91004608 HU, committed 0 HU, salinity 232
  Keleth Sea: level 64.000, coarse 292282336 HU, committed 0 HU, salinity 232
  Norain Sea: level 64.000, coarse 4539040 HU, committed 0 HU, salinity 232
  Varyr Sea: level 64.000, coarse 6719936 HU, committed 0 HU, salinity 232
  Morara Sea: level 64.000, coarse 15470368 HU, committed 0 HU, salinity 232
  Normere Sea: level 64.000, coarse 29847552 HU, committed 0 HU, salinity 232
  Selin Sea: level 64.000, coarse 3634176 HU, committed 0 HU, salinity 232
  Harun Sea: level 64.000, coarse 10544128 HU, committed 0 HU, salinity 232
  Eshora Sea: level 64.000, coarse 117024 HU, committed 0 HU, salinity 232
  Loresh Sea: level 64.000, coarse 115103456 HU, committed 0 HU, salinity 232
  Galos Sea: level 64.000, coarse 100192 HU, committed 0 HU, salinity 232
  Fenyr Sea: level 64.000, coarse 14304 HU, committed 0 HU, salinity 232
  Oryr Sea: level 64.000, coarse 27936 HU, committed 0 HU, salinity 232
  Loryr Sea: level 64.000, coarse 15308160 HU, committed 0 HU, salinity 232
  Orith Playa: level 66.307, coarse 0 HU, committed 0 HU, salinity 0
  Selith Playa: level 67.539, coarse 0 HU, committed 0 HU, salinity 0
  Selesh Playa: level 65.733, coarse 0 HU, committed 0 HU, salinity 0
  Kelmere Playa: level 66.466, coarse 0 HU, committed 0 HU, salinity 0
  Lake Selesh: level 66.216, coarse 266336 HU, committed 0 HU, salinity 213
  Fenith Playa: level 124.260, coarse 0 HU, committed 0 HU, salinity 0
  Selain Playa: level 103.632, coarse 0 HU, committed 0 HU, salinity 0
  Lake Harun: level 87.016, coarse 1011616 HU, committed 0 HU, salinity 13
  Lake Corin: level 85.095, coarse 498784 HU, committed 0 HU, salinity 11
  Lake Alor: level 89.210, coarse 473984 HU, committed 0 HU, salinity 11
  Dunmere River: level 0.000, coarse 548288 HU, committed 0 HU, salinity 22
  Eshen River: level 0.000, coarse 5763968 HU, committed 0 HU, salinity 40
  Loros River: level 0.000, coarse 193696 HU, committed 0 HU, salinity 55
  Oryr River: level 0.000, coarse 1728288 HU, committed 0 HU, salinity 62
  Galmere River: level 0.000, coarse 3300928 HU, committed 0 HU, salinity 40
  Mormere River: level 0.000, coarse 5794848 HU, committed 0 HU, salinity 32
  Barora River: level 0.000, coarse 457056 HU, committed 0 HU, salinity 25
  Corvale River: level 0.000, coarse 353760 HU, committed 0 HU, salinity 20
  Morin River: level 0.000, coarse 1112192 HU, committed 0 HU, salinity 18
  Moryr River: level 0.000, coarse 482176 HU, committed 0 HU, salinity 40
  Ala River: level 0.000, coarse 859872 HU, committed 0 HU, salinity 17
  Kelos River: level 0.000, coarse 855008 HU, committed 0 HU, salinity 17
  Fenara River: level 0.000, coarse 414752 HU, committed 0 HU, salinity 24
  Oresh River: level 0.000, coarse 1181472 HU, committed 0 HU, salinity 17
  Haros River: level 0.000, coarse 613440 HU, committed 0 HU, salinity 62
  Gala River: level 0.000, coarse 1223328 HU, committed 0 HU, salinity 17
  Eshith River: level 0.000, coarse 795040 HU, committed 0 HU, salinity 17
  Galos River: level 0.000, coarse 412896 HU, committed 0 HU, salinity 15
  Selin River: level 0.000, coarse 859968 HU, committed 0 HU, salinity 17
  Oror River: level 0.000, coarse 438112 HU, committed 0 HU, salinity 17
  Cora River: level 0.000, coarse 878816 HU, committed 0 HU, salinity 17
  Loror River: level 0.000, coarse 133088 HU, committed 0 HU, salinity 64
  Varesh River: level 0.000, coarse 849184 HU, committed 0 HU, salinity 17
  Harun River: level 0.000, coarse 420288 HU, committed 0 HU, salinity 16
  Barora River: level 0.000, coarse 874560 HU, committed 0 HU, salinity 16
  Lorith River: level 0.000, coarse 433408 HU, committed 0 HU, salinity 15
  Bara River: level 0.000, coarse 460480 HU, committed 0 HU, salinity 17
  Orain River: level 0.000, coarse 424992 HU, committed 0 HU, salinity 16
  Feneth River: level 0.000, coarse 804896 HU, committed 0 HU, salinity 16
  Norith River: level 0.000, coarse 437568 HU, committed 0 HU, salinity 16
  Dunith River: level 0.000, coarse 333120 HU, committed 0 HU, salinity 14
  Fenen River: level 0.000, coarse 756160 HU, committed 0 HU, salinity 15
  Ora River: level 0.000, coarse 131296 HU, committed 0 HU, salinity 65
