hour,storm_weight,centroid_x,centroid_y,centroid_z,clear_cells,overcast_cells,precipitation_cells,storm_cells,precipitation_units,water_drift
1,129450708.000,-0.20268597,0.37848239,-0.90314422,54684,324936,13596,0,6246478,0
2,272490111.000,-0.15983235,0.24984425,0.95500339,37155,340894,15167,0,6499941,0
3,389792039.000,-0.11819634,0.02656923,0.99263473,29942,342484,20790,0,7540411,0
4,482478438.000,-0.12463645,-0.13392298,0.98312277,23892,335399,33925,0,10637303,0
5,554675056.000,-0.11497403,-0.47061221,0.87481719,21940,321497,49779,0,16812420,0
6,610157926.000,0.22971617,-0.97324347,-0.00525585,20158,311195,61863,0,25425251,0
7,657093486.000,0.37029097,-0.73199390,-0.57189992,18784,302584,71848,0,35998428,0
8,700039046.000,0.38379439,-0.65532890,-0.65057351,17562,294559,81095,0,48202434,0
9,740957094.000,0.41396380,-0.63272309,-0.65444287,16559,287125,89526,6,61926433,0
10,781289794.000,0.45844274,-0.62949789,-0.62734572,15804,280361,97035,16,76990990,0
11,820531156.000,0.50518229,-0.63243063,-0.58721576,15191,273423,104573,29,93111130,0
12,859302908.000,0.51710651,-0.65942811,-0.54566970,14762,264709,113694,51,110246983,0
13,898486384.000,0.50702479,-0.67806497,-0.53212194,14125,257203,121821,67,128508162,0
14,938662717.000,0.49489707,-0.67084849,-0.55230353,13688,250439,128995,94,147644461,0
15,979466152.000,0.47067418,-0.66067597,-0.58478465,13292,244144,135665,115,167339158,0
16,1020409913.000,0.43864542,-0.64964676,-0.62092615,12976,239170,140938,132,187214716,0
17,1061083615.000,0.43537054,-0.63760002,-0.63554599,12682,234684,145676,174,206985876,0
18,1100879350.000,0.47712430,-0.61548299,-0.62732216,12385,230701,149857,273,226261873,0
19,1140013788.000,0.54817963,-0.56125713,-0.62007220,12160,226904,153733,419,244491963,0
20,1176409467.000,0.64454570,-0.48095525,-0.59434240,12002,223377,157240,597,262197750,0
21,1210052843.000,0.75476167,-0.36514130,-0.54498317,11844,220252,160360,760,279689345,0
22,1241219078.000,0.85476029,-0.23073473,-0.46491540,11669,216844,163712,991,296563231,0
23,1270998963.000,0.92559546,-0.11091459,-0.36189916,11540,213083,167388,1205,312768046,0
24,1301417900.000,0.96817522,0.00354150,-0.25024826,11406,209364,171044,1402,329072591,0
